ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Christmas,Christmas_lower,Christmas_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-03-12,163.7243446235236,169.60660863769334,178.367500152266,163.6545757675105,163.79743353461402,0.0,0.0,0.0,0.0,0.0,0.0,10.07464620249518,10.07464620249518,10.07464620249518,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596489704,0.2680636596489704,0.2680636596489704,-1.3606695590436544,-1.3606695590436544,-1.3606695590436544,0.0,0.0,0.0,173.79899082601878
2018-03-13,163.81219552352906,170.03536977496137,178.64198519270138,163.73771544646834,163.88868191299656,0.0,0.0,0.0,0.0,0.0,0.0,10.596260010453957,10.596260010453957,10.596260010453957,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700178061,0.9311288700178061,0.9311288700178061,-1.5021209614537125,-1.5021209614537125,-1.5021209614537125,0.0,0.0,0.0,174.40845553398302
2018-03-14,163.90004642353455,169.9046107259272,178.69015502234856,163.82183706853206,163.98263264032548,0.0,0.0,0.0,0.0,0.0,0.0,10.280986491737,10.280986491737,10.280986491737,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226738211,0.7192093226738211,0.7192093226738211,-1.6054749328266855,-1.6054749328266855,-1.6054749328266855,0.0,0.0,0.0,174.18103291527154
2018-03-15,163.98789732354,169.71767227526766,178.36941795483364,163.905999036261,164.07598751717939,0.0,0.0,0.0,0.0,0.0,0.0,9.877563079427954,9.877563079427954,9.877563079427954,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.37659345094775776,0.37659345094775776,0.37659345094775776,-1.666282473409667,-1.666282473409667,-1.666282473409667,0.0,0.0,0.0,173.86546040296795
2018-03-16,164.07574822354547,169.5987888203917,178.38964545049072,163.9900569738805,164.169261392584,0.0,0.0,0.0,0.0,0.0,0.0,9.982416106393421,9.982416106393421,9.982416106393421,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.4968177207820588,0.4968177207820588,0.4968177207820588,-1.6816537162785017,-1.6816537162785017,-1.6816537162785017,0.0,0.0,0.0,174.0581643299389
2018-03-19,164.3393009235619,170.18306526021343,178.81105970334596,164.24261375854562,164.44205171003782,0.0,0.0,0.0,0.0,0.0,0.0,9.984631704375115,9.984631704375115,9.984631704375115,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596486891,0.2680636596486891,0.2680636596486891,-1.450684057163438,-1.450684057163438,-1.450684057163438,0.0,0.0,0.0,174.323932627937
2018-03-20,164.42715182356736,171.05609913460194,179.76958874650097,164.3267328482709,164.532922786637,0.0,0.0,0.0,0.0,0.0,0.0,10.810492659230247,10.810492659230247,10.810492659230247,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.931128870018723,0.931128870018723,0.931128870018723,-1.28788831267834,-1.28788831267834,-1.28788831267834,0.0,0.0,0.0,175.2376444827976
2018-03-21,164.51500272357285,171.331218377623,179.82644218140555,164.41085301375932,164.62379345273675,0.0,0.0,0.0,0.0,0.0,0.0,10.797241707540898,10.797241707540898,10.797241707540898,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226746104,0.7192093226746104,0.7192093226746104,-1.0892197170235765,-1.0892197170235765,-1.0892197170235765,0.0,0.0,0.0,175.31224443111375
2018-03-22,164.6028536235783,171.0860455001347,179.96701148160736,164.4950242566161,164.71466411883654,0.0,0.0,0.0,0.0,0.0,0.0,10.682981801998965,10.682981801998965,10.682981801998965,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.37659345094811236,0.37659345094811236,0.37659345094811236,-0.8608637508390117,-0.8608637508390117,-0.8608637508390117,0.0,0.0,0.0,175.2858354255773
2018-03-23,164.69070452358378,171.28650689592502,180.0401467378022,164.57919549947283,164.80516172809382,0.0,0.0,0.0,0.0,0.0,0.0,11.054013485701645,11.054013485701645,11.054013485701645,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.4968177207811309,0.4968177207811309,0.4968177207811309,-0.6100563369693487,-0.6100563369693487,-0.6100563369693487,0.0,0.0,0.0,175.7447180092854
2018-03-26,164.95425722360022,171.96189377002312,181.183138200243,164.8329308915129,165.07820871525516,0.0,0.0,0.0,0.0,0.0,0.0,11.62923038420974,11.62923038420974,11.62923038420974,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.268063659648735,0.268063659648735,0.268063659648735,0.19391462267114185,0.19391462267114185,0.19391462267114185,0.0,0.0,0.0,176.58348760780996
2018-03-27,165.0421081236057,173.29500677455164,181.99381557764522,164.91687907669314,165.16910185235352,0.0,0.0,0.0,0.0,0.0,0.0,12.547977590532874,12.547977590532874,12.547977590532874,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.931128870018278,0.931128870018278,0.931128870018278,0.4495966186247333,0.4495966186247333,0.4495966186247333,0.0,0.0,0.0,177.59008571413855
2018-03-28,165.12995902361115,173.4509575475858,182.29215031462343,165.000147019049,165.26005634938275,0.0,0.0,0.0,0.0,0.0,0.0,12.570912183059038,12.570912183059038,12.570912183059038,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226744302,0.7192093226744302,0.7192093226744302,0.684450758494744,0.684450758494744,0.684450758494744,0.0,0.0,0.0,177.7008712066702
2018-03-29,165.2178099236166,173.33166349914035,181.85186086904434,165.08479727379296,165.35164291750104,0.0,0.0,0.0,0.0,0.0,0.0,12.434133648668613,12.434133648668613,12.434133648668613,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.3765934509477262,0.3765934509477262,0.3765934509477262,0.8902880958310221,0.8902880958310221,0.8902880958310221,0.0,0.0,0.0,177.65194357228523
2018-03-30,165.30566082362208,173.662374968721,182.35288827179164,165.16871201844333,165.44322948561936,0.0,0.0,0.0,0.0,0.0,0.0,12.723760857289742,12.723760857289742,12.723760857289742,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.4968177207824479,0.4968177207824479,0.4968177207824479,1.059691034617431,1.059691034617431,1.059691034617431,0.0,0.0,0.0,178.0294216809118
2018-04-02,165.5692135236385,174.13969655035115,182.5445416027632,165.42228869699198,165.71877045977325,0.0,0.0,0.0,0.0,0.0,0.0,12.726645195579168,12.726645195579168,12.726645195579168,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596487809,0.2680636596487809,0.2680636596487809,1.291329434040524,1.291329434040524,1.291329434040524,0.0,0.0,0.0,178.29585871921768
2018-04-03,165.65706442364396,174.72273788944432,183.43721853757643,165.50566521563945,165.81096380941716,0.0,0.0,0.0,0.0,0.0,0.0,13.362064837426974,13.362064837426974,13.362064837426974,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700178328,0.9311288700178328,0.9311288700178328,1.2636838655192792,1.2636838655192792,1.2636838655192792,0.0,0.0,0.0,179.01912926107093
2018-04-04,165.74491532364945,174.23555534127783,183.1928069968872,165.58983079155502,165.9018362259601,0.0,0.0,0.0,0.0,0.0,0.0,13.067509351572896,13.067509351572896,13.067509351572896,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226751219,0.7192093226751219,0.7192093226751219,1.1810479270079133,1.1810479270079133,1.1810479270079133,0.0,0.0,0.0,178.81242467522236
